LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Isle of Anglesey,150000,140000,150000,143500,150000,157000,163000,166000,170000,175000,190000,206889
Gwynedd,137000,132000,137750,136000,138000,145000,145000,154250,153000,160000,164250,175000
Conwy,149925,145000,139975,144950,149000,146375,150000,158000,160000,166000,179950,192000
Denbighshire,128000,125000,125000,125000,125000,135500,136500,140500,146000,150750,160000,175000
Flintshire,135000,137000,140000,137995,143973,154995,155950,159950,161000,165000,174000,182500
Wrexham,129475,130000,137000,129950,135000,141000,143000,147500,156000,152000,160000,175000
Ceredigion,175000,167500,162125,163000,165000,168000,174000,180000,178000,185000,193000,220000
Pembrokeshire,165000,152500,155000,151500,155000,157000,160000,164000,170000,175000,180000,198000
Carmarthenshire,125000,125000,125000,120000,125000,130000,135000,135000,138000,144000,152000,168250
Swansea,129973,126950,125000,125000,132000,133000,139000,139995,142500,152500,160000,175000
Neath Port Talbot,95937,96800,95000,99000,103500,108000,105000,110000,115000,120000,125500,137000
Bridgend,124000,123250,120000,126950,131250,137500,145000,149995,152000,158875,168000,179950
